URL,Size(Bytes),# of OutLinks,Content Type
nytimes.com/2024/09/22/style/storycorps-partisan-divide-election.html,308389,114,text/html
nytimes.com/2019/05/16/us/politics/criminal-justice-system.html,287733,114,text/html
nytimes.com/2022/01/02/business/economy/child-tax-credit.html,332329,126,text/html
nytimes.com/2018/03/01/movies/a-wrinkle-in-time-ava-duvernay-disney.html,372216,136,text/html
nytimes.com/article/best-tv-shows-movies-disney-plus.html,543061,201,text/html
nytimes.com/2019/03/21/us/politics/golan-heights-trump.html,391089,119,text/html
nytimes.com/1999/10/02/movies/film-festival-review-poor-belgian-girl-yearns-for-what-else-waffles.html,269040,106,text/html
nytimes.com/2019/12/10/us/politics/trump-antisemitism-executive-order.html,309834,116,text/html
nytimes.com/2019/05/30/arts/television/when-they-see-us-netflix.html,305398,135,text/html
nytimes.com/2024/10/02/opinion/vance-walz-debate-vibe-check-tony-hale.html,273990,104,text/html
nytimes.com/interactive/2020/02/11/upshot/up-trump-budget-per-person.html,239184,110,text/html
nytimes.com/2024/09/25/world/europe/putin-russia-nuclear-doctrine.html,300772,126,text/html
nytimes.com/2024/09/25/arts/errollyn-wallen-composer-for-king-charles.html,325786,123,text/html
nytimes.com/2024/05/06/us/politics/labor-market-social-security-medicare.html,345142,118,text/html
nytimes.com/interactive/2024/us/elections/presidential-election-swing-states.html,1076699,154,text/html
nytimes.com/2018/06/08/arts/television/bourdain-death.html,345892,135,text/html
nytimes.com/2024/06/27/us/politics/supreme-court-idaho-abortion.html,305645,114,text/html
nytimes.com/2020/01/02/world/middleeast/qassem-soleimani-iraq-iran-attack.html,415347,124,text/html
nytimes.com/2015/09/12/nyregion/yale-in-debate-over-calhoun-college-grapples-with-ties-to-slavery.html,303306,121,text/html
nytimes.com/2024/09/29/us/politics/black-church-gen-z-attendance.html,423172,122,text/html
nytimes.com/interactive/2023/climate/climate-change-faq.html,399294,272,text/html
nytimes.com/2024/09/11/us/politics/trump-russia-ukraine-war.html,358784,119,text/html
nytimes.com/2024/03/24/us/politics/kamala-harris-rafah-gaza-tiktok.html,294523,124,text/html
nytimes.com/2024/07/17/us/politics/kimberly-cheatle-secret-service.html,306487,117,text/html
nytimes.com/2019/02/07/us/virginia-governor-northam.html,347179,128,text/html
nytimes.com/2023/12/04/us/politics/kamala-harris-israel-middle-east.html,305032,120,text/html
nytimes.com/2020/06/24/us/politics/trump-vote-by-mail.html,326980,128,text/html
nytimes.com/2024/09/30/climate/britain-last-coal-power-plant.html,295912,113,text/html
nytimes.com/2018/05/30/health/medicaid-expansion-virginia.html,281209,115,text/html
nytimes.com/2024/03/25/us/politics/trump-israel-hamas-war.html,327910,116,text/html
nytimes.com/2023/05/31/movies/reality-review.html,304989,130,text/html
nytimes.com/2024/08/23/us/politics/kamala-harris-speech-transcript.html,366939,108,text/html
nytimes.com/2022/11/28/us/politics/trump-kanye-west-nick-fuentes-antisemitism.html,329311,115,text/html
nytimes.com/2023/12/21/movies/all-of-us-strangers-review.html,371898,128,text/html
nytimes.com/2024/10/03/opinion/industry-policy-manufacturing.html,342300,111,text/html
nytimes.com/2022/01/22/business/economy/inflation-biden-pandemic.html,332138,128,text/html
nytimes.com/2024/10/01/arts/music/glyndebourne-british-opera-financing-crisis.html,373460,118,text/html
nytimes.com/2024/08/04/world/europe/ukraine-f-16-fighter-jets.html,302243,123,text/html
nytimes.com/2023/12/05/us/politics/trump-fox-news-abuse-power.html,323765,120,text/html
nytimes.com/2024/10/03/us/churches-dallas-fort-worth-sexual-abuse.html,309128,108,text/html
nytimes.com/1993/05/09/arts/television-why-cheers-proved-so-intoxicating.html,295126,124,text/html
nytimes.com/2019/08/12/us/politics/trump-immigration-policy.html,354841,118,text/html
nytimes.com/2024/02/10/us/politics/trump-nato-russia.html,350978,120,text/html
nytimes.com/2023/12/14/movies/the-zone-of-interest-review.html,372581,131,text/html
nytimes.com/2019/06/07/us/politics/what-is-the-hyde-amendment.html,332091,124,text/html
nytimes.com/interactive/2024/09/18/science/bulletproofing-schools.html,262569,128,text/html
nytimes.com/2024/09/30/climate/michigan-nuclear-plant-palisades.html,297962,118,text/html
nytimes.com/2024/07/18/us/politics/trump-gop-platform-convention.html,387859,120,text/html
nytimes.com/interactive/2019/us/politics/kamala-harris-executive-power.html,248590,154,text/html
